zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
98056,STANDARD,0,Renton,Newcastle,"Hazelwood, Highlands, Kennydale",WA,King County,America/Los_Angeles,"206, 425",NA,US,47.51,-122.18,31850
98057,STANDARD,0,Renton,,,WA,King County,America/Los_Angeles,"206, 425",NA,US,47.47,-122.22,11260
98058,STANDARD,0,Renton,,"Cascade, Fairwood",WA,King County,America/Los_Angeles,"253, 425",NA,US,47.43,-122.11,40420
98059,STANDARD,0,Renton,Newcastle,,WA,King County,America/Los_Angeles,425,NA,US,47.49,-122.1,38920
98061,PO BOX,0,Rollingbay,,Manitou Beach,WA,Kitsap County,America/Los_Angeles,206,NA,US,47.65,-122.55,322
98062,PO BOX,0,Seahurst,Burien,,WA,King County,America/Los_Angeles,206,NA,US,47.46,-122.36,482
98063,PO BOX,0,Federal Way,Auburn,,WA,King County,America/Los_Angeles,253,NA,US,47.3,-122.31,1064
98064,PO BOX,0,Kent,,,WA,King County,America/Los_Angeles,253,NA,US,47.39,-122.23,1064
98065,STANDARD,0,Snoqualmie,,,WA,King County,America/Los_Angeles,"360, 425, 564",NA,US,47.53,-121.8,15970
98068,PO BOX,0,Snoqualmie Pass,Snoqualmie Ps,"Alpental, Hyak",WA,Kittitas County,America/Los_Angeles,"360, 425, 509, 564",NA,US,47.42,-121.37,236
98070,STANDARD,0,Vashon,,"Dockton, Vashon Island",WA,King County,America/Los_Angeles,206,NA,US,47.42,-122.45,10080
98071,PO BOX,0,Auburn,,,WA,King County,America/Los_Angeles,253,NA,US,47.25,-122.11,1338
98072,STANDARD,0,Woodinville,,Cottage Lake,WA,King County,America/Los_Angeles,"360, 425, 564",NA,US,47.75,-122.09,24830
98073,PO BOX,0,Redmond,,,WA,King County,America/Los_Angeles,425,NA,US,47.67,-122.11,1169
98074,STANDARD,0,Sammamish,Redmond,,WA,King County,America/Los_Angeles,425,NA,US,47.62,-122.02,30670
98075,STANDARD,0,Sammamish,Issaquah,,WA,King County,America/Los_Angeles,425,NA,US,47.58,-122.03,25790
98077,STANDARD,0,Woodinville,,,WA,King County,America/Los_Angeles,"360, 425, 564",NA,US,47.75,-122.04,13160
98082,PO BOX,0,Mill Creek,Bothell,,WA,,America/Los_Angeles,425,NA,US,47.85,-122.22,1402
98083,PO BOX,0,Kirkland,,,WA,King County,America/Los_Angeles,425,NA,US,47.68,-122.19,1060
98087,STANDARD,0,Lynnwood,,,WA,Snohomish County,America/Los_Angeles,425,NA,US,47.86,-122.27,35960
98089,PO BOX,0,Kent,,Midway,WA,King County,America/Los_Angeles,253,NA,US,47.38,-122.23,556
98092,STANDARD,0,Auburn,,,WA,King County,America/Los_Angeles,"253, 360, 564",NA,US,47.28,-122.1,46680
98093,PO BOX,0,Federal Way,Auburn,,WA,King County,America/Los_Angeles,253,NA,US,47.3,-122.35,1902
98101,STANDARD,0,Seattle,,Times Square,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,12060
98102,STANDARD,0,Seattle,,"Broadway, Capitol Hill",WA,King County,America/Los_Angeles,206,NA,US,47.63,-122.32,19840
98103,STANDARD,0,Seattle,,"Greenwood, Wallingford",WA,King County,America/Los_Angeles,206,NA,US,47.67,-122.34,44210
98104,STANDARD,0,Seattle,,"International, Pioneer Square",WA,King County,America/Los_Angeles,206,NA,US,47.6,-122.32,9570
98105,STANDARD,0,Seattle,,University,WA,King County,America/Los_Angeles,"206, 425",NA,US,47.66,-122.29,25600
98106,STANDARD,0,Seattle,,White Center,WA,King County,America/Los_Angeles,206,NA,US,47.54,-122.35,22250
98107,STANDARD,0,Seattle,,Ballard,WA,King County,America/Los_Angeles,206,NA,US,47.67,-122.38,23890
98108,STANDARD,0,Seattle,Tukwila,,WA,King County,America/Los_Angeles,206,NA,US,47.54,-122.31,22040
98109,STANDARD,0,Seattle,,Queen Anne,WA,King County,America/Los_Angeles,206,NA,US,47.63,-122.34,25950
98110,STANDARD,0,Bainbridge Island,"Bainbridge Is, Seattle",,WA,Kitsap County,America/Los_Angeles,"206, 360, 564",NA,US,47.64,-122.53,24250
98111,PO BOX,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,1613
98112,STANDARD,0,Seattle,,Madison Park,WA,King County,America/Los_Angeles,"206, 425",NA,US,47.63,-122.29,19620
98113,PO BOX,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,244
98114,PO BOX,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.58,-122.31,383
98115,STANDARD,0,Seattle,,"Seattle Naval Support Activi, Wedgwood",WA,King County,America/Los_Angeles,206,NA,US,47.68,-122.28,49010
98116,STANDARD,0,Seattle,,West Seattle,WA,King County,America/Los_Angeles,206,NA,US,47.57,-122.4,24770
98117,STANDARD,0,Seattle,,Crown Hill,WA,King County,America/Los_Angeles,206,NA,US,47.68,-122.38,32740
98118,STANDARD,0,Seattle,,Columbia,WA,King County,America/Los_Angeles,206,NA,US,47.54,-122.27,42810
98119,STANDARD,0,Seattle,,Interbay,WA,King County,America/Los_Angeles,206,NA,US,47.63,-122.37,19420
98121,STANDARD,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.62,-122.35,14890
98122,STANDARD,0,Seattle,,East Union,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.3,30330
98124,PO BOX,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.57,-122.33,1410
98125,STANDARD,0,Seattle,,"Lake City, Northgate",WA,King County,America/Los_Angeles,206,NA,US,47.71,-122.3,35180
98126,STANDARD,0,Seattle,,Westwood Village,WA,King County,America/Los_Angeles,206,NA,US,47.55,-122.37,20530
98127,PO BOX,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,702
98129,UNIQUE,0,Seattle,,Reg Lib Handicapped,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,0
98131,STANDARD,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.46,-122.29,0
98132,STANDARD,1,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.46,-122.29,0
98133,STANDARD,0,Seattle,Shoreline,"Bitter Lake, Richmond Highlands",WA,King County,America/Los_Angeles,"206, 425",NA,US,47.73,-122.34,41520
98134,STANDARD,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.57,-122.33,590
98136,STANDARD,0,Seattle,,Westwood,WA,King County,America/Los_Angeles,206,NA,US,47.53,-122.39,15080
98138,PO BOX,0,Seattle,Tukwila,,WA,King County,America/Los_Angeles,206,NA,US,47.47,-122.26,627
98139,PO BOX,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,370
98141,PO BOX,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,66
98144,STANDARD,0,Seattle,,Beacon Hill,WA,King County,America/Los_Angeles,206,NA,US,47.58,-122.3,26650
98145,PO BOX,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.65,-122.31,782
98146,STANDARD,0,Seattle,Burien,"Shorewood, White Center",WA,King County,America/Los_Angeles,206,NA,US,47.49,-122.36,25460
98148,STANDARD,0,Seattle,"Burien, Des Moines, Normandy Park, Seatac",,WA,King County,America/Los_Angeles,206,NA,US,47.44,-122.33,9560
98151,UNIQUE,1,Seattle,Goodwill Games 1990,,WA,King County,America/Los_Angeles,206,NA,US,47.6,-122.33,0
98154,STANDARD,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,33
98155,STANDARD,0,Seattle,"Lake Forest Park, Lk Forest Pk, Shoreline","Forest Park, Lk Forest Park, North City",WA,King County,America/Los_Angeles,"206, 425",NA,US,47.75,-122.29,32450
98158,STANDARD,0,Seattle,Seatac,Seatac Airport,WA,King County,America/Los_Angeles,206,NA,US,47.44,-122.31,0
98160,PO BOX,0,Seattle,,Richmond Beach,WA,King County,America/Los_Angeles,206,NA,US,47.77,-122.38,93
98161,STANDARD,0,Seattle,,,WA,King County,America/Los_Angeles,"206, 425",NA,US,47.6,-122.33,0
98164,STANDARD,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,160
98165,PO BOX,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,651
98166,STANDARD,0,Seattle,"Burien, Normandy Park",,WA,King County,America/Los_Angeles,206,NA,US,47.44,-122.35,19970
98168,STANDARD,0,Seattle,"Burien, Seatac, Tukwila",,WA,King County,America/Los_Angeles,206,NA,US,47.48,-122.29,33020
98170,UNIQUE,0,Seattle,,Amazon.Com,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,0
98171,STANDARD,1,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.6,-122.33,0
98174,STANDARD,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.6,-122.34,0
98175,PO BOX,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,395
98177,STANDARD,0,Seattle,Shoreline,"Bitter Lake, Richmond Beach, The Highlands",WA,King County,America/Los_Angeles,206,NA,US,47.73,-122.37,19520
98178,STANDARD,0,Seattle,Tukwila,"Bryn Mawr, Skyway",WA,King County,America/Los_Angeles,"206, 425",NA,US,47.49,-122.25,23500
98181,UNIQUE,0,Seattle,,Macys,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,0
98184,UNIQUE,1,Seattle,,Bank Of America,WA,King County,America/Los_Angeles,206,NA,US,47.6,-122.33,0
98185,UNIQUE,0,Seattle,,Safeco Plaza,WA,King County,America/Los_Angeles,206,NA,US,47.66,-122.29,0
98188,STANDARD,0,Seattle,"Seatac, Tukwila","Duwamish, Mcmicken Heights, Riverton",WA,King County,America/Los_Angeles,"206, 253, 425",NA,US,47.44,-122.28,23850
98189,UNIQUE,1,Seattle,,Diagnos Techs Inc,WA,,America/Los_Angeles,206,NA,US,47.42,-122.25,0
98190,UNIQUE,0,Seattle,,Capital One,WA,King County,America/Los_Angeles,206,NA,US,47.5,-122.29,0
98191,UNIQUE,0,Seattle,,Qwest,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,0
98194,PO BOX,0,Seattle,,,WA,King County,America/Los_Angeles,206,NA,US,47.61,-122.33,299
98195,UNIQUE,0,Seattle,,Univ Of Washington,WA,King County,America/Los_Angeles,206,NA,US,47.65,-122.31,192
98198,STANDARD,0,Seattle,"Des Moines, Normandy Park, Seatac",Redondo Beach,WA,King County,America/Los_Angeles,"206, 253",NA,US,47.38,-122.31,34200
98199,STANDARD,0,Seattle,,"Fort Lawton, Magnolia",WA,King County,America/Los_Angeles,206,NA,US,47.65,-122.4,20730
